i,j,r,A_Z,B
0,0,35.3553390593,0.0,0.0
0,1,34.6554469023,0.0,0.000214746568843
0,2,33.9705755029,0.0,0.000429501557077
0,3,33.3016516107,0.0,0.000644236855577
0,4,32.6496554346,0.0,0.000858918515077
0,5,32.0156211872,0.0,0.00107340331353
0,6,31.4006369362,0.0,0.00128753601563
0,7,30.8058436015,0.0,0.00150098088302
0,8,30.2324329157,0.0,0.00171338449152
0,9,29.6816441593,0.0,0.00192414610796
0,10,29.1547594742,0.0,0.00213264524802
0,11,28.6530975638,0.0,0.00233795734155
0,12,28.1780056072,0.0,0.00253914578968
0,13,27.7308492477,0.0,0.0027349318976
0,14,27.3130005675,0.0,0.00292405162667
0,15,26.9258240357,0.0,0.00310489061425
0,16,26.5706605112,0.0,0.00327590513803
0,17,26.2488094968,0.0,0.00343523296214
0,18,25.9615099715,0.0,0.00358117496739
0,19,25.7099202644,0.0,0.00371178935742
0,20,25.495097568,0.0,0.00382542414644
0,21,25.3179778023,0.0,0.00392029579074
0,22,25.179356624,0.0,0.00399505419172
0,23,25.079872408,0.0,0.00404833928799
0,24,25.0199920064,0.0,0.00407935298237
0,25,25.0,0.0,0.00408738322874
0,26,25.0199920064,0.0,0.0040723563148
0,27,25.079872408,0.0,0.00403432186202
0,28,25.179356624,0.0,0.00397396680495
0,29,25.3179778023,0.0,0.00389206639953
0,30,25.495097568,0.0,0.00378995484172
0,31,25.7099202644,0.0,0.00366896091128
0,32,25.9615099715,0.0,0.00353084192135
0,33,26.2488094968,0.0,0.0033772304671
0,34,26.5706605112,0.0,0.00321004235498
0,35,26.9258240357,0.0,0.00303095988616
0,36,27.3130005675,0.0,0.00284182048589
0,37,27.7308492477,0.0,0.0026441546453
0,38,28.1780056072,0.0,0.00243955451237
0,39,28.6530975638,0.0,0.00222927603057
0,40,29.1547594742,0.0,0.00201458035229
0,41,29.6816441593,0.0,0.00179640340517
0,42,30.2324329157,0.0,0.00157565984451
0,43,30.8058436015,0.0,0.00135298017242
0,44,31.4006369362,0.0,0.00112896691527
0,45,32.0156211872,0.0,0.000903998698215
0,46,32.6496554346,0.0,0.000678430203487
0,47,33.3016516107,0.0,0.000452462984379
0,48,33.9705755029,0.0,0.00022628331117
0,49,34.6554469023,0.0,0.0
1,0,34.6554469023,0.0,0.000214746568843
1,1,33.941125497,0.000429493137686,0.000607406927079
1,2,33.2415402772,0.000859003114154,0.000960407249035
1,3,32.5576411922,0.00128847371115,0.00135824560714
1,4,31.8904374382,0.00171783703015,0.00177082588075
1,5,31.2409987036,0.00214680662706,0.00218960251885
1,6,30.61045573,0.00257507203126,0.00261100774895
1,7,30.0,0.00300196176603,0.00303315990095
1,8,29.4108823397,0.00342676898303,0.00345442768367
1,9,28.8444102037,0.00384829221593,0.00387345520168
1,10,28.3019433962,0.00426529049603,0.00428848927576
1,11,27.7848879789,0.00467591468311,0.0046978288729
1,12,27.2946881279,0.00507829157935,0.00509916980163
1,13,26.83281573,0.0054698637952,0.00549023372051
1,14,26.4007575649,0.00584810325333,0.00586805785134
1,15,26.0,0.0062097812285,0.00622976542643
1,16,25.632011236,0.00655181027607,0.00657180482192
1,17,25.2982212813,0.00687046592428,0.00689084992128
1,18,25.0,0.00716234993478,0.00718300344227
1,19,24.7386337537,0.00742357871484,0.00744481270277
1,20,24.5153013443,0.00765084829288,0.00767244514719
1,21,24.3310501212,0.00784059158148,0.00786279104885
1,22,24.1867732449,0.00799010838344,0.00801260483757
1,23,24.0831891576,0.00809667857597,0.00811964919458
1,24,24.0208242989,0.00815870596473,0.00818178257324
1,25,24.0,0.00817476645748,0.00819808929024
1,26,24.0208242989,0.0081447126296,0.00816789252246
1,27,24.0831891576,0.00806864372405,0.00809182196927
1,28,24.1867732449,0.00794793360989,0.00797074848946
1,29,24.3310501212,0.00778413279907,0.00780676487036
1,30,24.5153013443,0.00757990968343,0.00760206661178
1,31,24.7386337537,0.00733792182256,0.00735984982607
1,32,25.0,0.00706168384269,0.0070831865098
1,33,25.2982212813,0.00675446093419,0.00677586064777
1,34,25.632011236,0.00642008470996,0.00644129319542
1,35,26.0,0.00606191977231,0.00608333657372
1,36,26.4007575649,0.00568364097179,0.00570529474627
1,37,26.83281573,0.00528830929061,0.0053106834721
1,38,27.2946881279,0.00487910902474,0.00490237411367
1,39,27.7848879789,0.00445855206114,0.00448331359586
1,40,28.3019433962,0.00402916070458,0.00405580818033
1,41,28.8444102037,0.00359280681033,0.0036221939067
1,42,29.4108823397,0.00315131968902,0.00318428112868
1,43,30.0,0.00270596034485,0.00274399508837
1,44,30.61045573,0.00225793383055,0.00230307684019
1,45,31.2409987036,0.00180799739643,0.00186393401899
1,46,31.8904374382,0.00135686040697,0.00143039744495
1,47,32.5576411922,0.000904925968759,0.00101181679183
1,48,33.2415402772,0.000452566622341,0.000640025871974
1,49,33.941125497,0.0,0.00022628331117
2,0,33.9705755029,0.0,0.000429501557077
2,1,33.2415402772,0.000859003114154,0.000960407249035
2,2,32.5269119346,0.00171804560778,0.0012149169769
2,3,31.8276609257,0.00257715518005,0.00154882336552
2,4,31.1448230048,0.00343606778241,0.00192117999404
2,5,30.4795013083,0.00429448307891,0.00231325946339
2,6,29.8328677804,0.00515151973195,0.00271617470871
2,7,29.206163733,0.00600623411477,0.00312491084491
2,8,28.6006992922,0.00685682195017,0.00353639089571
2,9,28.0178514522,0.00770139613771,0.00394802211819
2,10,27.4590604355,0.0085369550851,0.00435770580987
2,11,26.9258240357,0.00936041738998,0.00476303133417
2,12,26.4196896272,0.0101673878391,0.00516174165261
2,13,25.9422435421,0.0109534494663,0.0055509988888
2,14,25.495097568,0.0117127679896,0.00592805576754
2,15,25.079872408,0.0124396424989,0.00628949869971
2,16,24.6981780705,0.0131269939515,0.00663207012748
2,17,24.3515913238,0.013768169518,0.00695188235542
2,18,24.0416305603,0.0143553551,0.00724537051984
2,19,23.769728648,0.0148816099288,0.00750848451855
2,20,23.5372045919,0.0153392228752,0.00773774987437
2,21,23.3452350599,0.0157219221122,0.00792943696906
2,22,23.1948270095,0.0160231633763,0.00808069133055
2,23,23.0867927612,0.0162384231694,0.00818866372437
2,24,23.0217288664,0.0163633788255,0.00825165506728
2,25,23.0,0.0163961726092,0.00826818098034
2,26,23.0217288664,0.0163354403369,0.00823807322608
2,27,23.0867927612,0.0161824475635,0.0081614602631
2,28,23.1948270095,0.0159389579164,0.0080397848796
2,29,23.3452350599,0.0156091918226,0.00787470935932
2,30,23.5372045919,0.0151975841121,0.00766904092176
2,31,23.769728648,0.0147105744221,0.0074256019166
