n, F
1,-27.3344587677
2,-27.3359907894
3,-27.3369229982
4,-27.337541621
5,-27.3379803826
6,-27.3383076175
7,-27.3385611808
8,-27.3387635504
9,-27.3389288738
10,-27.3390664965
11,-27.3391828447
12,-27.3392824875
13,-27.3393687659
14,-27.339444182
15,-27.339510648
16,-27.3395696515
17,-27.3396223671
18,-27.3396697357
19,-27.3397125193
20,-27.3397513421
21,-27.3397867202
22,-27.3398190842
23,-27.339848796
24,-27.3398761621
25,-27.339901444
26,-27.3399248656
27,-27.3399466205
28,-27.3399668761
29,-27.3399857788
30,-27.3400034562
31,-27.3400200209
32,-27.340035572
33,-27.3400501974
34,-27.3400639753
35,-27.3400769753
36,-27.3400892597
37,-27.3401008845
38,-27.3401119
39,-27.3401223515
40,-27.3401322803
41,-27.3401417234
42,-27.3401507148
43,-27.3401592851
44,-27.3401674626
45,-27.340175273
46,-27.3401827397
47,-27.3401898844
48,-27.340196727
49,-27.3402032858
50,-27.3402095776
51,-27.3402156179
52,-27.3402214213
53,-27.3402270011
54,-27.3402323697
55,-27.3402375385
56,-27.3402425184
57,-27.3402473192
58,-27.3402519502
59,-27.3402564201
60,-27.3402607371
61,-27.3402649087
62,-27.3402689419
63,-27.3402728435
64,-27.3402766197
65,-27.3402802764
66,-27.340283819
67,-27.3402872527
68,-27.3402905825
69,-27.3402938129
70,-27.3402969482
71,-27.3402999925
72,-27.3403029498
73,-27.3403058236
74,-27.3403086175
75,-27.3403113346
76,-27.3403139781
77,-27.3403165509
78,-27.3403190559
79,-27.3403214955
80,-27.3403238725
81,-27.340326189
82,-27.3403284475
83,-27.3403306501
84,-27.3403327987
85,-27.3403348955
86,-27.3403369421
87,-27.3403389405
88,-27.3403408923
89,-27.3403427991
90,-27.3403446625
91,-27.340346484
92,-27.3403482648
93,-27.3403500065
94,-27.3403517103
95,-27.3403533774
96,-27.340355009
97,-27.3403566063
98,-27.3403581702
99,-27.340359702
100,-27.3403612025
101,-27.3403626727
102,-27.3403641135
103,-27.3403655259
104,-27.3403669106
105,-27.3403682685
106,-27.3403696004
107,-27.3403709069
108,-27.340372189
109,-27.3403734471
110,-27.340374682
111,-27.3403758944
112,-27.3403770849
113,-27.340378254
114,-27.3403794024
115,-27.3403805306
116,-27.3403816391
117,-27.3403827285
118,-27.3403837992
119,-27.3403848518
120,-27.3403858866
121,-27.3403869043
122,-27.3403879051
123,-27.3403888895
124,-27.340389858
125,-27.3403908109
126,-27.3403917485
127,-27.3403926713
128,-27.3403935797
129,-27.3403944738
130,-27.3403953542
131,-27.3403962211
132,-27.3403970749
133,-27.3403979157
134,-27.340398744
135,-27.34039956
136,-27.340400364
137,-27.3404011562
138,-27.340401937
139,-27.3404027065
140,-27.3404034651
141,-27.3404042129
142,-27.3404049502
143,-27.3404056771
144,-27.340406394
145,-27.3404071011
146,-27.3404077985
147,-27.3404084864
148,-27.3404091651
149,-27.3404098347
150,-27.3404104954
151,-27.3404111473
152,-27.3404117908
153,-27.3404124259
154,-27.3404130528
155,-27.3404136716
156,-27.3404142825
157,-27.3404148858
158,-27.3404154814
159,-27.3404160696
160,-27.3404166505
161,-27.3404172242
162,-27.3404177909
163,-27.3404183507
164,-27.3404189037
165,-27.34041945
